prioridade;empresa;categoria;cidade;estado;telefone_empresa;site;tipo_site;industria_snov;prospects_snov;emails_snov;contato_1_nome;contato_1_cargo;contato_1_linkedin;contato_2_nome;contato_2_cargo;contato_2_linkedin;contato_3_nome;contato_3_cargo;contato_3_linkedin;fit_score;fonte_busca;maps_url;emails_publicos;urls_verificadas
17;Sama Autopeças;Atacadista;Campinas;São Paulo;+55 19 2101-0900;https://samaautopecas.com.br/;Site próprio;Wholesale;209;25;Rodrigo Carneiro;CEO;https://www.linkedin.com/in/rodrigo-carneiro-93b908149;Jose Goncalves - Zuza;Coordenador de vendas;https://www.linkedin.com/in/jose-goncalves-zuza-423289257;Karolina Nogueira;Coordenador de vendas;https://www.linkedin.com/in/karolina-nogueira-746649272;8;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=Sama%20Autope%C3%A7as&query_place_id=ChIJt0Gx91HPyJQRabcvmrNQKqw;;https://samaautopecas.com.br | https://samaautopecas.com.br/contato | https://samaautopecas.com.br/contatos | https://samaautopecas.com.br/contact
18;Sul Mantiqueira Distribuidora;Atacadista;Campinas;SP;+55 19 99976-0100;http://sulmantiqueira.com/;Site próprio;Wine & Spirits;3;1;Fernanda Savigne;Assistente financeiro junior;https://www.linkedin.com/in/fernanda-savigne-6a1026163;Luciana Ramalho;Assistente financeira;https://www.linkedin.com/in/luciana-ramalho-39531a245;Talita Migotto;Analista de marketing;https://www.linkedin.com/in/talita-migotto;8;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Sul%20Mantiqueira%20Distribuidora&query_place_id=ChIJ_zx-EWTHyJQRu2ya2cC8Cos;;http://sulmantiqueira.com | http://sulmantiqueira.com/contato | http://sulmantiqueira.com/contatos | http://sulmantiqueira.com/contact
19;Tesba Logística- Filial Simões Filho;Serviço de transporte;Simões Filho;Bahia;+55 71 3301-4040;http://www.tesba.com.br/;Site próprio;Transportation/Trucking/Railroad;15;9;Marcelo Camarelli;Gerente administrativo;https://www.linkedin.com/in/marcelo-camarelli-174322157;Nery Anderson Rodrigues;Gerente de Departamento Pessoal / RH;https://www.linkedin.com/in/nery-anderson-rodrigues-582121148;Lucas Oliveira;Administrador de manutenção;https://www.linkedin.com/in/lucas-oliveira-b6403b17b;8;logística em Simões Filho BA;https://www.google.com/maps/search/?api=1&query=Tesba%20Log%C3%ADstica-%20Filial%20Sim%C3%B5es%20Filho&query_place_id=ChIJPVEdYhUSFgcRIuYVJSfYvSg;contato@tesba.com.br;http://www.tesba.com.br | http://www.tesba.com.br/contato | http://www.tesba.com.br/contatos | http://www.tesba.com.br/contact
20;Tico & Teco Distribuidora de Bebidas;Fornecedor de bebidas;Campinas;São Paulo;+55 19 3276-7215;https://distribuidoraticoeteco.com.br/;Site próprio;Food & Beverages;5;1;Guilherme Henrique de Paula Delfino;Gerente de vendas;https://www.linkedin.com/in/guilherme-henrique-de-paula-delfino-90b83b229;Adilson Reis;Consultor de vendas;https://www.linkedin.com/in/adilson-reis-7a0b202b4;Evandro Costa;Representante de vendas;https://www.linkedin.com/in/evandro-costa-5436ab120;8;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=Tico%20%26%20Teco%20Distribuidora%20de%20Bebidas&query_place_id=ChIJw65nfH3OyJQRnf3N3tRQ8yQ;ticoetecodistribuidora@hotmail.com;https://distribuidoraticoeteco.com.br | https://distribuidoraticoeteco.com.br/contato | https://distribuidoraticoeteco.com.br/contatos | https://distribuidoraticoeteco.com.br/contact
4;Allplastik Embalagens Plásticas;Fabricante;Feira de Santana;Bahia;+55 75 3021-9410;https://allplastikindustria.com.br/;Site próprio;;0;0;;;;;;;;;;8;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Allplastik%20Embalagens%20Pl%C3%A1sticas&query_place_id=ChIJB7iqo7c3FAcRvUvxRsMWx-U;allplastik@hotmail.com;https://allplastikindustria.com.br | https://allplastikindustria.com.br/contato | https://allplastikindustria.com.br/contatos | https://allplastikindustria.com.br/contact
4;Alvo Atacado de Bebidas;Distribuidor de bebidas;Campinas;São Paulo;+55 19 99159-9889;https://www.instagram.com/alvoatacadooficial/;Social;;;;;;;;;;;;;8;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=Alvo%20Atacado%20de%20Bebidas&query_place_id=ChIJyWIQT0S3yJQRUhY2hBEfEIs;;
5;BAVECOM - Bahia Distribuidora de Vedações e Componentes;Atacadista;Feira de Santana;Bahia;+55 75 3226-7761;https://www.bahiadistribuidora.com.br/contato;Site próprio;;0;3;;;;;;;;;;8;distribuidora em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=BAVECOM%20-%20Bahia%20Distribuidora%20de%20Veda%C3%A7%C3%B5es%20e%20Componentes&query_place_id=ChIJQyDZrQo3FAcRzDa0qUarT04;;https://www.bahiadistribuidora.com.br/contato | https://www.bahiadistribuidora.com.br/contato | https://www.bahiadistribuidora.com.br/contatos | https://www.bahiadistribuidora.com.br/contact
17;Baemba Plásticos;Empresa de fabricação de plástico;Feira de Santana;BA;+55 75 4009-9500;https://www.facebook.com/baemba.bahia.1;Social;;;;;;;;;;;;;8;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Baemba%20Pl%C3%A1sticos&query_place_id=ChIJpeVJsiM3FAcRFjOimq2Z4t0;;
6;Barella Plast;Fornecedor de produtos de plástico;Feira de Santana;Bahia;+55 75 99179-1658;http://barellaplast.com.br/;Site próprio;;;;;;;;;;;;;8;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Barella%20Plast&query_place_id=ChIJr4AF3Uc2FAcRzaS2HcNyZUA;;http://barellaplast.com.br | http://barellaplast.com.br/contato | http://barellaplast.com.br/contatos | http://barellaplast.com.br/contact
7;CBA Distribuidora de Bebidas;Fornecedor de bebidas;Campinas;São Paulo;+55 19 3381-0688;https://cbabebidas.com.br/;Site próprio;Wine & Spirits;0;0;;;;;;;;;;8;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=CBA%20Distribuidora%20de%20Bebidas&query_place_id=ChIJSQExwOfFyJQRhzfYb9z7IME;contato@cbabebidas.com.br;https://cbabebidas.com.br | https://cbabebidas.com.br/contato | https://cbabebidas.com.br/contatos | https://cbabebidas.com.br/contact
11;Gimenes Distribuidora de Auto Peças;Atacadista;Campinas;São Paulo;+55 19 3252-9596;https://www.gimenesautopecas.com.br/;Site próprio;Automotive;0;0;;;;;;;;;;8;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=Gimenes%20Distribuidora%20de%20Auto%20Pe%C3%A7as&query_place_id=ChIJtXjjuozFyJQRqJu7ZxQaHSE;;https://www.gimenesautopecas.com.br | https://www.gimenesautopecas.com.br/contato | https://www.gimenesautopecas.com.br/contatos | https://www.gimenesautopecas.com.br/contact
12;J C A DISTRIBUIDORA DE ALIMENTOS;Atacadista;Campinas;São Paulo;+55 19 2515-8080;http://jcafoods.com.br/;Site próprio;Marketing & Advertising;0;7;;;;;;;;;;8;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=J%20C%20A%20DISTRIBUIDORA%20DE%20ALIMENTOS&query_place_id=ChIJEZ-hdZLFyJQRUQ2tirx_kz4;;http://jcafoods.com.br | http://jcafoods.com.br/contato | http://jcafoods.com.br/contatos | http://jcafoods.com.br/contact
24;Toplog Armazenagem e Distribuição LTDA;Depósito;Simões Filho;BA;+55 71 3082-4300;http://www.toplogba.com.br/;Site próprio;;;;;;;;;;;;;8;logística em Simões Filho BA;https://www.google.com/maps/search/?api=1&query=Toplog%20Armazenagem%20e%20Distribui%C3%A7%C3%A3o%20LTDA&query_place_id=ChIJzwOfZH8UFgcR7dGqwZiNgz8;;http://www.toplogba.com.br | http://www.toplogba.com.br/contato | http://www.toplogba.com.br/contatos | http://www.toplogba.com.br/contact
21;Tô na Esquina Distribuidora de Bebidas;Fornecedor de bebidas;Feira de Santana;Bahia;+55 75 97400-2525;https://linkr.bio/4jp15k;Social;;;;;;;;;;;;;8;distribuidora em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=T%C3%B4%20na%20Esquina%20Distribuidora%20de%20Bebidas&query_place_id=ChIJMW8305o5FAcRvvNkqSUsV2g;;
25;Sertão Atacado;Fornecedor de bebidas;Feira de Santana;Bahia;;https://instagram.com/sertaobebidas?utm_source=ig_profile_share&igshid=o7wm8z6djp5q;Social;;;;;;;;;;;;;7;distribuidora em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Sert%C3%A3o%20Atacado&query_place_id=ChIJJRF2NSg4FAcRE8gg24RGqmg;;
26;ADEP Distribuidora de Alimentos;Serviço de distribuição;Campinas;São Paulo;+55 19 3269-8749;http://adepdistribuidora.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=ADEP%20Distribuidora%20de%20Alimentos&query_place_id=ChIJAQDQ8_zIyJQRuI2IgYqD06Q;;http://adepdistribuidora.com.br | http://adepdistribuidora.com.br/contato | http://adepdistribuidora.com.br/contatos | http://adepdistribuidora.com.br/contact
27;APG PECAS;Serviço de distribuição;Campinas;São Paulo;+55 19 3229-3415;http://www.apgpecas.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=APG%20PECAS&query_place_id=ChIJ__879frIyJQR7JBPP4uJBjo;;http://www.apgpecas.com.br | http://www.apgpecas.com.br/contato | http://www.apgpecas.com.br/contatos | http://www.apgpecas.com.br/contact
28;AVEC CAMPINAS DISTRIBUIDORA LTDA;Serviço de distribuição;Campinas;São Paulo;+55 19 3728-2200;http://ecomaveccampinas.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=AVEC%20CAMPINAS%20DISTRIBUIDORA%20LTDA&query_place_id=ChIJCbex6Z_JyJQRc4OrsGoHlA8;;http://ecomaveccampinas.com.br | http://ecomaveccampinas.com.br/contato | http://ecomaveccampinas.com.br/contatos | http://ecomaveccampinas.com.br/contact
29;Armazém da Cerveja - Campinas 2;Distribuidor de bebidas;Campinas;São Paulo;+55 19 3368-1600;http://www.armazemdacerveja.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=Armaz%C3%A9m%20da%20Cerveja%20-%20Campinas%202%20%7C%20Distribuidora%20de%20Bebidas&query_place_id=ChIJfWq-MhvGyJQRSDxXNbhrgqQ;;http://www.armazemdacerveja.com.br | http://www.armazemdacerveja.com.br/contato | http://www.armazemdacerveja.com.br/contatos | http://www.armazemdacerveja.com.br/contact
30;Avant Distribuidora de Alimentos;Negociante de alimentos;Campinas;São Paulo;+55 19 3849-2003;https://avantdistribuidora.com/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Avant%20Distribuidora%20de%20Alimentos&query_place_id=ChIJP1U24zrHyJQRkwGJnyksev8;;https://avantdistribuidora.com | https://avantdistribuidora.com/contato | https://avantdistribuidora.com/contatos | https://avantdistribuidora.com/contact
31;Baños Bebidas;Fornecedor de bebidas;Campinas;São Paulo;+55 19 99426-2433;http://www.banosbebidas.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=Ba%C3%B1os%20Bebidas&query_place_id=ChIJmbefXP_PyJQR81Le9XH1wEo;;http://www.banosbebidas.com.br | http://www.banosbebidas.com.br/contato | http://www.banosbebidas.com.br/contatos | http://www.banosbebidas.com.br/contact
32;Biguá Alimentos;Fabricante;Campinas;São Paulo;+55 19 3227-4555;http://www.biguaalimentos.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Bigu%C3%A1%20Alimentos&query_place_id=ChIJ6S-ZU7O5yJQRAeeF9o_2mUg;;http://www.biguaalimentos.com.br | http://www.biguaalimentos.com.br/contato | http://www.biguaalimentos.com.br/contatos | http://www.biguaalimentos.com.br/contact
33;Brasil Food Services Distribuidora - Distribuímos Produtos Diferenciados;Serviço de distribuição;Campinas;São Paulo;+55 19 3342-4736;http://www.brasilfoodservices.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Brasil%20Food%20Services%20Distribuidora%20-%20Distribu%C3%ADmos%20Produtos%20Diferenciados&query_place_id=ChIJY8fFOtfIyJQRQKVGJkoKIKQ;;http://www.brasilfoodservices.com.br | http://www.brasilfoodservices.com.br/contato | http://www.brasilfoodservices.com.br/contatos | http://www.brasilfoodservices.com.br/contact
34;Center Campinas Distribuidora;Serviço de distribuição;Campinas;São Paulo;+55 19 3267-2161;https://www.centercampinas.com.br/home;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Center%20Campinas%20Distribuidora&query_place_id=ChIJqabMHSzJyJQRvyNjUSOmk28;;https://www.centercampinas.com.br/home | https://www.centercampinas.com.br/contato | https://www.centercampinas.com.br/contatos | https://www.centercampinas.com.br/contact
35;DIGÃO DISTRIBUIDORA DE PEÇAS E ACESSÓRIOS LTDA;Serviço de distribuição;Campinas;São Paulo;+55 19 3272-2973;http://www.digaodistribuidora.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=DIG%C3%83O%20DISTRIBUIDORA%20DE%20PE%C3%87AS%20E%20ACESS%C3%93RIOS%20LTDA&query_place_id=ChIJod6wbTHJyJQRYz1QQpACm1Q;vendas@digaodistribuidora.com.br;http://www.digaodistribuidora.com.br | http://www.digaodistribuidora.com.br/contato | http://www.digaodistribuidora.com.br/contatos | http://www.digaodistribuidora.com.br/contact
36;Furacão Distribuidora de Peças Automotivas;Serviço de distribuição;Campinas;São Paulo;+55 19 2101-3000;http://www.furacao.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=Furac%C3%A3o%20Distribuidora%20de%20Pe%C3%A7as%20Automotivas&query_place_id=ChIJkV42YwXJyJQRzORHBQzb_p4;;http://www.furacao.com.br | http://www.furacao.com.br/contato | http://www.furacao.com.br/contatos | http://www.furacao.com.br/contact
37;M.D.G. Comércio de Alimentos Ltda;Serviço de distribuição;Campinas;São Paulo;+55 19 3296-3075;https://www.mdgdistribuidora.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=M.D.G.%20Com%C3%A9rcio%20de%20Alimentos%20Ltda&query_place_id=ChIJKUtXl9bHyJQR9ulACH4Oyoc;;https://www.mdgdistribuidora.com.br | https://www.mdgdistribuidora.com.br/contato | https://www.mdgdistribuidora.com.br/contatos | https://www.mdgdistribuidora.com.br/contact
38;Macamp Distribuidora;Serviço de distribuição;Campinas;São Paulo;+55 19 3500-0527;http://www.macampdistribuidora.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Macamp%20Distribuidora&query_place_id=ChIJb1yWYRrHyJQRFUAPIYwFaUc;3500.0527atendimento@macampdistribuidora.com.br | atendimento@macampdistribuidora.com.br;http://www.macampdistribuidora.com.br | http://www.macampdistribuidora.com.br/contato | http://www.macampdistribuidora.com.br/contatos | http://www.macampdistribuidora.com.br/contact
39;Porto Distribuidora de Alimentos;Serviço de distribuição;Campinas;São Paulo;+55 19 3256-9790;http://www.comercialporto.com.br/;Site próprio;;;;;;;;;;;;;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Porto%20Distribuidora%20de%20Alimentos&query_place_id=ChIJBXsvZTTEyJQRVAdsWBHLyUc;;http://www.comercialporto.com.br | http://www.comercialporto.com.br/contato | http://www.comercialporto.com.br/contatos | http://www.comercialporto.com.br/contact
40;SAGA BEER;Fornecedor de bebidas;Campinas;São Paulo;+55 19 98987-0675;https://www.lojalocal.com/amstel/39241068000106;Site próprio;;;;;;;;;;;;;6;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=SAGA%20BEER&query_place_id=ChIJn9o-bFHHyJQRj4gpVuH0gNQ;;https://www.lojalocal.com/amstel/39241068000106 | https://www.lojalocal.com/contato | https://www.lojalocal.com/contatos | https://www.lojalocal.com/contact
