priority_query,company_name,category,city,state,website,phone,address,rating,reviews_count,google_maps_url
Transportadora em Salvador BA,Patrus Transportes Salvador,Serviço de transporte,Simões Filho,BA,https://patrus.com.br/,+55 71 2108-3000,"Via Periférica Waldyr Beira, 5794, Cia Sul, Simões Filho - BA, Brasil",3.6,232,https://www.google.com/maps/search/?api=1&query=Patrus%20Transportes%20Salvador&query_place_id=ChIJDXqMBYgTFgcRAGTaL3CgytQ
Atacadista em Ribeirão Preto SP,Atacadão Eletronicos,Loja de eletrônicos,Ribeirão Preto,São Paulo,http://atacadaoeletronicos.com.br/,+55 16 3632-5692,"R. Saldanha Marinho, 649 - Centro, Ribeirão Preto - SP, 14010-060, Brasil",4.5,222,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20Eletronicos&query_place_id=ChIJD-ctO7m_uZQRtLYk0UKMlLM
Transportadora em Salvador BA,"TRANSPORTE CARGAS , LOGISTICA E MUDANÇAS (71) 987914730 [HENRI TRANSPORTES]",Empresa de transporte rodoviário,Salvador,Bahia,https://www.henritransportes.com.br/,+55 71 98791-4730,"R. Dr. Jorge Costa Andrade, 42 - S 108 - Águas Claras, Salvador - BA, 41310-260, Brasil",4.9,148,https://www.google.com/maps/search/?api=1&query=TRANSPORTE%20CARGAS%20%2C%20LOGISTICA%20E%20MUDAN%C3%87AS%20(71)%20987914730%20%5BHENRI%20TRANSPORTES%5D&query_place_id=ChIJUSe7QM4RFgcR8vaUI_S6AWg
Atacadista em Ribeirão Preto SP,Paulistão Atacadista,Atacadista,Ribeirão Preto,São Paulo,https://www.paulistaoatacadista.com.br/,+55 16 3968-3085,"Av. Pres. Castelo Branco, 1865 - Parque Industrial Lagoinha, Ribeirão Preto - SP, 14095-000, Brasil",3.9,126,https://www.google.com/maps/search/?api=1&query=Paulist%C3%A3o%20Atacadista&query_place_id=ChIJERcmIna5uZQRK2CEN5oYWA8
Indústria em Campinas SP,Arcor do Brasil - Campinas,Fabricante,Campinas,São Paulo,https://www.arcor.com.br/,+55 19 3709-7800,"R. Henrique Veiga, 500 - Jardim Santa Genebra, Campinas - SP, 13082-740, Brasil",3.8,116,https://www.google.com/maps/search/?api=1&query=Arcor%20do%20Brasil%20-%20Campinas&query_place_id=ChIJL7w9_tDGyJQR-wPJ-jkWCYM
Indústria em Campinas SP,Fábrica Kikkoman do Brasil,Fabricante de alimentos,Campinas,SP,http://kikkoman.com.br/,+55 19 3257-1245,"Romeu Túlio, R. Walter Franco de Lima, 105, Campinas - SP, 13099-105, Brasil",4.4,116,https://www.google.com/maps/search/?api=1&query=F%C3%A1brica%20Kikkoman%20do%20Brasil&query_place_id=ChIJO3vwP-TDyJQRykzlmbDPZMg
Distribuidora em Campinas SP,Distribuidora Irmãos Delova,Fornecedor de alimentos e bebidas para catering,Campinas,São Paulo,https://distribuidorairmaosdelova.com.br/,+55 19 3368-1651,"R. Luís Beltrão, 74 - Vila Mimosa, Campinas - SP, 13050-044, Brasil",4.6,106,https://www.google.com/maps/search/?api=1&query=Distribuidora%20Irm%C3%A3os%20Delova&query_place_id=ChIJV7HauD3JyJQRxXUpszoWF0A
Distribuidora em Salvador BA,Anjos Distribuidora de Água mineral e Bebidas em Salvador,Fornecedor de bebidas,Salvador,Bahia,https://contate.me/5571987526768,+55 71 98752-6768,"R. Sérgio de Carvalho, 855 - Federação, Salvador - BA, 40230-680, Brasil",3.2,102,https://www.google.com/maps/search/?api=1&query=Anjos%20Distribuidora%20de%20%C3%81gua%20mineral%20e%20Bebidas%20em%20Salvador&query_place_id=ChIJrxMXvVrb5q0RZlkL2b9qOsc
Distribuidora em Campinas SP,J C A DISTRIBUIDORA DE ALIMENTOS,Atacadista,Campinas,São Paulo,http://jcafoods.com.br/,+55 19 2515-8080,"R. Dona Luísa de Gusmão, 1517 - Vila Madalena, Campinas - SP, 13088-028, Brasil",4.1,95,https://www.google.com/maps/search/?api=1&query=J%20C%20A%20DISTRIBUIDORA%20DE%20ALIMENTOS&query_place_id=ChIJEZ-hdZLFyJQRUQ2tirx_kz4
Indústria em Feira de Santana BA,Plastix Indústria e Comércio de Plásticos,Empresa de fabricação de plástico,Feira de Santana,Bahia,http://www.plastix.com.br/,+55 75 3625-7666,"R. Rio Paranapanema, 250 - Santa Monica, Feira de Santana - BA, 44078-070, Brasil",4.9,95,https://www.google.com/maps/search/?api=1&query=Plastix%20Ind%C3%BAstria%20e%20Com%C3%A9rcio%20de%20Pl%C3%A1sticos&query_place_id=ChIJU9sDiW42FAcR9IQonfSnuuM
Transportadora em Salvador BA,Expresso Petrolina Salvador,Serviço de agenciamento de carga,Simões Filho,Bahia,http://www.expressopetrolina.com.br/,+55 71 98718-3621,"Av. Elmo Serejo de Farias, 3333 - Pitanguinha, Simões Filho - BA, 43700-000, Brasil",4.6,94,https://www.google.com/maps/search/?api=1&query=Expresso%20Petrolina%20Salvador&query_place_id=ChIJnW3CaT8QFgcRCtb5Ux2thNo
Indústria em Campinas SP,Dana Industrias Campinas,Fabricante de autopeças,Campinas,São Paulo,http://www.dana.com.br/,+55 19 3765-9500,"Av. Br Smith de Vasconcelos, 1000 - Distrito Industrial, Campinas - SP, 13054-740, Brasil",4.6,90,https://www.google.com/maps/search/?api=1&query=Dana%20Industrias%20Campinas&query_place_id=ChIJ_cfKn7bIyJQRNlMHeG5d220
Distribuidora em Campinas SP,M.D.G. Comércio de Alimentos Ltda,Serviço de distribuição,Campinas,São Paulo,https://www.mdgdistribuidora.com.br/,+55 19 3296-3075,"Rua Flávio Telles, 14 - Setor 2 - Jardim Santa Genebra, Campinas - SP, 13080-291, Brasil",4.1,83,https://www.google.com/maps/search/?api=1&query=M.D.G.%20Com%C3%A9rcio%20de%20Alimentos%20Ltda&query_place_id=ChIJKUtXl9bHyJQR9ulACH4Oyoc
Indústria em Feira de Santana BA,Gigaplas Industria e Com de Utilidades Domesticas,Fabricante,Feira de Santana,BA,http://www.gigaplas.com.br/,+55 75 3616-5232,"Rua Baneb, 133 B Cis - Tomba, Feira de Santana - BA, 44010-820, Brasil",4.4,80,https://www.google.com/maps/search/?api=1&query=Gigaplas%20Industria%20e%20Com%20de%20Utilidades%20Domesticas&query_place_id=ChIJxbIh1Wk2FAcRG37Pw8hTelI
Indústria em Campinas SP,Indisa,Fabricante de autopeças,Campinas,São Paulo,http://www.indisa.com.br/,+55 19 3765-6000,"R. Antônio Luchiari, 1001 - Distrito Industrial, Campinas - SP, 13054-700, Brasil",3.7,78,https://www.google.com/maps/search/?api=1&query=Indisa&query_place_id=ChIJ4c7MXyPKyJQRXKdj4-xEfaM
Distribuidora em Campinas SP,AVEC CAMPINAS DISTRIBUIDORA LTDA,Serviço de distribuição,Campinas,São Paulo,http://ecomaveccampinas.com.br/,+55 19 3728-2200,"Av. Ricardo Bassoli Cezare, 281 - Jardim das Bandeiras, Campinas - SP, 13050-080, Brasil",4.5,75,https://www.google.com/maps/search/?api=1&query=AVEC%20CAMPINAS%20DISTRIBUIDORA%20LTDA&query_place_id=ChIJCbex6Z_JyJQRc4OrsGoHlA8
Atacadista em Ribeirão Preto SP,RIBERBÃO ATACADO,Fornecedor de materiais de construção,Ribeirão Preto,São Paulo,http://www.riberbaoatacado.com.br/,+55 16 3639-9338,"av b, 5085 - Parque das Oliveiras, Ribeirão Preto - SP, 14065-750, Brasil",4.5,70,https://www.google.com/maps/search/?api=1&query=RIBERB%C3%83O%20ATACADO&query_place_id=ChIJ8f0CUN2VuZQRKyS3mK1uLzM
Distribuidora em Campinas SP,Sul Mantiqueira Distribuidora,Atacadista,Campinas,SP,http://sulmantiqueira.com/,+55 19 99976-0100,"CEASA - Rodovia Dom Pedro I, 5 Pista Norte, Km 140, Campinas - SP, 13082-902, Brasil",4.8,68,https://www.google.com/maps/search/?api=1&query=Sul%20Mantiqueira%20Distribuidora&query_place_id=ChIJ_zx-EWTHyJQRu2ya2cC8Cos
Atacadista em Ribeirão Preto SP,Prince Atacadão das Bebidas,Distribuidor de bebidas,Ribeirão Preto,São Paulo,https://clicki.com.br/princeatacadaodasbebidas,+55 16 99149-7373,"Av. Cásper Líbero, 518 - Parque Ribeirao Preto, Ribeirão Preto - SP, 14031-190, Brasil",4.3,66,https://www.google.com/maps/search/?api=1&query=Prince%20Atacad%C3%A3o%20das%20Bebidas&query_place_id=ChIJJYdhgKC-uZQRgWecbncMQc0
Indústria em Campinas SP,Cassini Alimentos,Fabricante,Campinas,São Paulo,http://www.cassini.com.br/,+55 19 3765-8686,"Av. Mercedes Benz, 300 - Distrito Industrial, Campinas - SP, 13054-750, Brasil",4.2,59,https://www.google.com/maps/search/?api=1&query=Cassini%20Alimentos&query_place_id=ChIJLbALjhDKyJQRLTo6JQ8OX4s
Transportadora em Salvador BA,Bahia Sul Transportes,Serviço de transporte,Simões Filho,Bahia,https://bahiasultransportes.com.br/,+55 71 3211-3116,"R. Cidade de Belmonte, 739 - CEP 43.721-625 - Centro, Simões Filho - BA, 43721-625, Brasil",4.3,58,https://www.google.com/maps/search/?api=1&query=Bahia%20Sul%20Transportes&query_place_id=ChIJOcyLKAYRFgcRShXQg0uqmKg
Transportadora em Salvador BA,Transportadora Primeira do Nordeste - TPN,Empresa de importação e exportação,Salvador,Bahia,http://www.primeiradonordeste.com.br/,+55 71 3291-7188,"R. Cel. José Rodolfo Pereira de Souza, 321 - Valéria, Salvador - BA, 41301-335, Brasil",4.1,58,https://www.google.com/maps/search/?api=1&query=Transportadora%20Primeira%20do%20Nordeste%20-%20TPN&query_place_id=ChIJMbpn-GgRFgcRuNkJlWOa41c
Transportadora em Salvador BA,Bahia Transporte e Mudanças,Serviço de transporte e armazenamento de móveis,Salvador,Bahia,http://www.bahiatransport.com.br/,+55 71 99154-2846,"R. Pedro Silva Ribeiro, 469 - Jardim Armação, Salvador - BA, 41750-130, Brasil",4.7,55,https://www.google.com/maps/search/?api=1&query=Bahia%20Transporte%20e%20Mudan%C3%A7as&query_place_id=ChIJ25d_C6YbFgcRNRmhjA7MzLw
Indústria em Feira de Santana BA,Comercial Gerdau - Feira de Santana,Distribuidor de aço,Feira de Santana,Bahia,https://mais.gerdau.com.br/onde-comprar/,+55 75 3224-8500,"Av. Transnordestina, 1565 - Campo Limpo, Feira de Santana - BA, 44032-411, Brasil",4.9,53,https://www.google.com/maps/search/?api=1&query=Comercial%20Gerdau%20-%20Feira%20de%20Santana&query_place_id=ChIJuavhcGI4FAcR8uSvElZx3LA
Transportadora em Salvador BA,SSA Cargas,Empresa de transporte rodoviário,Salvador,Bahia,http://www.ssacargas.com.br/,+55 71 3291-2973,"R. Direta da Palestina, 344 - Palestina, Salvador - BA, 41308-000, Brasil",4.3,44,https://www.google.com/maps/search/?api=1&query=SSA%20Cargas&query_place_id=ChIJBbmHkGARFgcR27Ksoc17S-s
Indústria em Campinas SP,Medley Farmacêutica,Fabricante,Campinas,São Paulo,http://www.medley.com.br/,+55 800 729 8000,"R. Macedo Costa, 55 - Jardim Santa Genebra, Campinas - SP, 13080-180, Brasil",4.6,43,https://www.google.com/maps/search/?api=1&query=Medley%20Farmac%C3%AAutica&query_place_id=ChIJrzcIFI3GyJQR8lfX4QY-Rnc
Distribuidora em Salvador BA,Salvador Atacadista - MACAM,Atacadista,Salvador,Bahia,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://salvadoratacadista.com.br/&ved=2ahUKEwjo5fzWsZePAxWeB7kGHeQHHhMQFnoECAwQAQ&usg=AOvVaw3w9qiUZhx-PyRP6fdfl0us,+55 71 3039-4900,"R. do Nepal, 2-138 - Granjas Rurais Pres. Vargas, Salvador - BA, 41230-070, Brasil",4.5,43,https://www.google.com/maps/search/?api=1&query=Salvador%20Atacadista%20-%20MACAM&query_place_id=ChIJmXOeZokRFgcRz_2vqh9lKyQ
Indústria em Campinas SP,Perficamp Ltda Campinas Fabricação de Perfilados Plásticos e Industriais,Empresa de fabricação de plástico,Campinas,São Paulo,http://www.perficamp.com.br/,+55 19 3225-9008,"R. Eldorado, 770 - Chacaras Sao Francisco do Aeroporto, Campinas - SP, 13052-450, Brasil",4.8,41,https://www.google.com/maps/search/?api=1&query=Perficamp%20Ltda%20Campinas%20Fabrica%C3%A7%C3%A3o%20de%20Perfilados%20Pl%C3%A1sticos%20e%20Industriais&query_place_id=ChIJoc16XpvJyJQRRKs338EKKLA
Distribuidora em Campinas SP,Center Campinas Distribuidora,Serviço de distribuição,Campinas,São Paulo,https://www.centercampinas.com.br/home,+55 19 3267-2161,"Polo I de Alta Tecnologia - Av. Carlos Pellegrini Junior, 140 - Techno Park, Campinas - SP, 13069-473, Brasil",4.8,40,https://www.google.com/maps/search/?api=1&query=Center%20Campinas%20Distribuidora&query_place_id=ChIJqabMHSzJyJQRvyNjUSOmk28
Distribuidora em Salvador BA,Depósito de Bebidas Sales,Fornecedor de bebidas,Salvador,Bahia,https://www.depositodebebidassales.com.br/,+55 71 99336-3636,"Av. Edgard Santos, 500 - Cabula VI, Salvador - BA, 41194-000, Brasil",3.8,40,https://www.google.com/maps/search/?api=1&query=Dep%C3%B3sito%20de%20Bebidas%20Sales&query_place_id=ChIJGUkRRp0bFgcRH-qOcu_K0Lg
Transportadora em Salvador BA,LDB Transportes de Cargas,Empresa de transporte rodoviário,Salvador,Bahia,http://www.ldbcargas.com.br/,+55 71 2106-9600,"R. Cariparé, 442 - Pirajá, Salvador - BA, 41230-150, Brasil",4.3,39,https://www.google.com/maps/search/?api=1&query=LDB%20Transportes%20de%20Cargas&query_place_id=ChIJq6zoFVkRFgcR6DLy1w5zXp4
Indústria em Feira de Santana BA,Pepsico,Fabricante,Feira de Santana,BA,http://www.pepsico.com.br/,+55 75 3211-4251,"Rodovia BR 324 - KM 527,3, S/N - Cis, Feira de Santana, Brasil",3.4,35,https://www.google.com/maps/search/?api=1&query=Pepsico&query_place_id=ChIJ_1Sr6G0xFAcRFYjcwCYNmNk
Indústria em Campinas SP,Rovemar Indústria e Comércio LTDA,Serviços de usinagem automotiva,Campinas,São Paulo,http://www.rovemar.com.br/,+55 19 2138-0500,"Vizinho empresa Agrosalles - R. Emilia Serra Otranto, 4801 - Chácara São Martinho, Campinas - SP, 13042-834, Brasil",4.3,35,https://www.google.com/maps/search/?api=1&query=Rovemar%20Ind%C3%BAstria%20e%20Com%C3%A9rcio%20LTDA&query_place_id=ChIJAZoMtdzOyJQRpH0RGYEYlTQ
Indústria em Feira de Santana BA,CIFS - Centro das Indústrias de Feira de Santana,Associação / organização,Feira de Santana,Bahia,http://www.cifs.com.br/,+55 75 3625-6696,"Av. Nóide Cerqueira - Sim, Feira de Santana - BA, 44085-052, Brasil",4.1,32,https://www.google.com/maps/search/?api=1&query=CIFS%20-%20Centro%20das%20Ind%C3%BAstrias%20de%20Feira%20de%20Santana&query_place_id=ChIJtWZ06po3FAcR1myR7fUjfzY
Atacadista em Ribeirão Preto SP,Ataca Preço Ribeirão,Supermercado,Ribeirão Preto,São Paulo,https://www.instagram.com/atacaprecorp/,+55 16 99411-2420,"R. Gen. Câmara, 1545 - Ipiranga, Ribeirão Preto - SP, 14060-570, Brasil",4.8,31,https://www.google.com/maps/search/?api=1&query=Ataca%20Pre%C3%A7o%20Ribeir%C3%A3o&query_place_id=ChIJk-UJpTO_uZQRqrQOoULY7hk
Indústria em Campinas SP,Fabrica La Basque Alimentos,Fabricante de alimentos,Campinas,São Paulo,http://www.labasque.com.br/,+55 19 3756-1950,"R. Josefina Gori Fiorani, 220 - Parque dos Jacarandás, Campinas - SP, 13087-607, Brasil",4.3,30,https://www.google.com/maps/search/?api=1&query=Fabrica%20La%20Basque%20Alimentos&query_place_id=ChIJ9_r4byXEyJQRVXKJJEZxMgc
Distribuidora em Campinas SP,Alvo Atacado de Bebidas,Distribuidor de bebidas,Campinas,São Paulo,https://www.instagram.com/alvoatacadooficial/,+55 19 99159-9889,"R. Salvador Allende, 241 - Jardim Nova Esperanca, Campinas - SP, 13058-489, Brasil",4.1,29,https://www.google.com/maps/search/?api=1&query=Alvo%20Atacado%20de%20Bebidas&query_place_id=ChIJyWIQT0S3yJQRUhY2hBEfEIs
Distribuidora em Salvador BA,Depósito de Bebidas Irmãos Saldanha,Fornecedor de bebidas,Salvador,Bahia,https://instagram.com/depositobebidasirmaossaldanha?igshid=14fahzlvs6zck,+55 71 99617-6738,"Ladeira da Cruz da Redenção, S/N - Brotas, Salvador - BA, 40296-190, Brasil",3.8,26,https://www.google.com/maps/search/?api=1&query=Dep%C3%B3sito%20de%20Bebidas%20Irm%C3%A3os%20Saldanha&query_place_id=ChIJGciZ6EkbFgcRcm-x2HJcYxA
Distribuidora em Campinas SP,NATOCAMP DISTRIBUIDORA LTDA,Serviço de distribuição,Campinas,São Paulo,http://www.natocamp.com.br/,+55 19 99900-8512,"R. Ituverava, 187 - Cidade Jardim, Campinas - SP, 13050-412, Brasil",4.7,25,https://www.google.com/maps/search/?api=1&query=NATOCAMP%20DISTRIBUIDORA%20LTDA&query_place_id=ChIJ-4P6tvHIyJQRzB--o5EkE9g
Transportadora em Salvador BA,Leoni Salvador Mudança,Serviço de transporte e armazenamento de móveis,Salvador,Bahia,http://www.salvadormudanca.com.br/,+55 71 99150-1498,"Ed Mundo Plaza - Av. Tancredo Neves, 620 - Salas 3302, 3303, 3304, 3305 and 3306 - Caminho das Árvores, Salvador - BA, 41820-020, Brasil",4.7,24,https://www.google.com/maps/search/?api=1&query=Leoni%20Salvador%20Mudan%C3%A7a&query_place_id=ChIJIb2aUAMbFgcRe6prHY2CvrE
Transportadora em Salvador BA,Via Verde Transportes Transportadora de Cargas em Salvador,Empresa de transporte rodoviário,Salvador,Bahia,https://viaverdetransportes.com.br/,+55 71 99966-2950,"Av. Cardeal Avelar Brandão Villela, 2367 - Mata Escura, Salvador - BA, 41219-600, Brasil",4.3,23,https://www.google.com/maps/search/?api=1&query=Via%20Verde%20Transportes%20Transportadora%20de%20Cargas%20em%20Salvador&query_place_id=ChIJwaISTGwQFgcRg8fs7baq6eQ
Transportadora em Salvador BA,JR Transportadora,Serviço de transporte,Salvador,Bahia,https://transportadorajr.com/,+55 71 98754-0721,"R. Dr. Aristídes de Oliveira, n° 70 - Santa Mônica, Salvador - BA, 40342-000, Brasil",5,22,https://www.google.com/maps/search/?api=1&query=JR%20Transportadora&query_place_id=ChIJAewARNYFFgcRkez9tjLiUEk
Indústria em Campinas SP,Miracema-Nuodex Indústria Química Ltda,Planta química,Campinas,São Paulo,http://www.miracema-nuodex.com.br/,+55 19 3728-1000,"Av. Ricardo Bassoli Cezare, 15 - Jardim São José, Campinas - SP, 13050-080, Brasil",3.9,20,https://www.google.com/maps/search/?api=1&query=Miracema-Nuodex%20Ind%C3%BAstria%20Qu%C3%ADmica%20Ltda&query_place_id=ChIJn4kiUZ7JyJQRag-jTRWdflc
Indústria em Feira de Santana BA,ESPUMIL - JFM IND. E COM. LTDA,Fabricante,Feira de Santana,Bahia,https://espumil.com.br/,+55 71 3012-8884,"BR-324, 850 - Subaé, Feira de Santana - BA, 44079-002, Brasil",3.4,19,https://www.google.com/maps/search/?api=1&query=ESPUMIL%20-%20JFM%20IND.%20E%20COM.%20LTDA&query_place_id=ChIJ027cpkYxFAcRfGMWe8KMORg
Distribuidora em Campinas SP,Estrela Distribuidora de Alimentos,Fornecedor de alimentos e bebidas para catering,Campinas,São Paulo,http://www.estrelacampinas.com.br/,+55 19 3267-8011,"R. Nazareno Mingone, 678 - Jardim do Lago, Campinas - SP, 13050-022, Brasil",3.9,19,https://www.google.com/maps/search/?api=1&query=Estrela%20Distribuidora%20de%20Alimentos&query_place_id=ChIJz6YdXOHIyJQRpSmTMB5ONLw
Distribuidora em Campinas SP,Porto Distribuidora de Alimentos,Serviço de distribuição,Campinas,São Paulo,http://www.comercialporto.com.br/,+55 19 3256-9790,"R. Mirta Coluccini Porto, 1509 - Parque Rural Fazenda Santa Cândida, Campinas - SP, 13087-606, Brasil",4.4,17,https://www.google.com/maps/search/?api=1&query=Porto%20Distribuidora%20de%20Alimentos&query_place_id=ChIJBXsvZTTEyJQRVAdsWBHLyUc
Distribuidora em Campinas SP,CBA Distribuidora de Bebidas,Fornecedor de bebidas,Campinas,São Paulo,https://cbabebidas.com.br/,+55 19 3381-0688,"R. Peró de Góis, 83 - Parque Taquaral, Campinas - SP, 13087-017, Brasil",5,16,https://www.google.com/maps/search/?api=1&query=CBA%20Distribuidora%20de%20Bebidas&query_place_id=ChIJSQExwOfFyJQRhzfYb9z7IME
Transportadora em Salvador BA,Leandro Transportes | Léo Sales Transportes,Serviço de transporte,Salvador,Bahia,https://lstransportesssa.com.br/,+55 71 4101-0052,"ED GUIMARAES TRADE - Av. Tancredo Neves, 1189 - Sala 1603 - Caminho das Árvores, Salvador - BA, 41820-020, Brasil",5,16,https://www.google.com/maps/search/?api=1&query=Leandro%20Transportes%20%7C%20L%C3%A9o%20Sales%20Transportes&query_place_id=ChIJ8W-eW_obFgcRzGOlGc-6H6g
Distribuidora em Campinas SP,Macamp Distribuidora,Serviço de distribuição,Campinas,São Paulo,http://www.macampdistribuidora.com.br/,+55 19 3500-0527,"Tic-Log - R. Armando de Campos, 500 - Nova Aparecida, Campinas - SP, 13069-129, Brasil",4.7,16,https://www.google.com/maps/search/?api=1&query=Macamp%20Distribuidora&query_place_id=ChIJb1yWYRrHyJQRFUAPIYwFaUc
Atacadista em Ribeirão Preto SP,Trade Distribuidora de Alimentos,Negociante de alimentos,Ribeirão Preto,São Paulo,https://linktr.ee/tradedistribuidora,+55 16 99781-3788,"R. Dante Ferezin, 16 - Distrito Empresarial Pref. Luiz Roberto Jabali, Ribeirão Preto - SP, 14072-085, Brasil",4.9,16,https://www.google.com/maps/search/?api=1&query=Trade%20Distribuidora%20de%20Alimentos&query_place_id=ChIJ1yAk0gDBuZQREcyY8olynzw
Indústria em Campinas SP,Wasc Indústria Metalúrgica,Fabricante de peças de máquinas,Campinas,São Paulo,http://www.wasc.com.br/start/empresa/index.asp,+55 19 3225-8484,"R. Cabrália, 114 - Jardim Itatinga, Campinas - SP, 13052-453, Brasil",3.6,16,https://www.google.com/maps/search/?api=1&query=Wasc%20Ind%C3%BAstria%20Metal%C3%BArgica&query_place_id=ChIJ8Zu5_CfKyJQREHNyiChKFDU
Indústria em Feira de Santana BA,GlobalPack (Feira De Santana),Empresa de embalagens,Feira de Santana,Bahia,http://www.globalpack.com.br/ola%20me%20chamo%20Jackson%20Freitas%20to%20preciso%20de%20uma%20vaga%20de%20emprego%20sou%20profissional%20em%20seguran%C3%A7a%20vigia%20contador%20de%20acesso%20e%20fiscal%20de%20loja,+55 19 3856-9200,"Av. Frei Félix de Pacauba, 5391-5633 - Feira de Santana, BA, 44036-000, Brasil",4.6,13,https://www.google.com/maps/search/?api=1&query=GlobalPack%20(Feira%20De%20Santana)&query_place_id=ChIJ2RBZ78c4FAcRnev6uPb_nkA
