prioridade;empresa;nome_original;categoria;cidade;estado;site;tipo_site;telefone;endereco;fit_score;fonte_busca;maps_url
29;Armazém da Cerveja - Campinas 2;Armazém da Cerveja - Campinas 2 | Distribuidora de Bebidas;Distribuidor de bebidas;Campinas;São Paulo;http://www.armazemdacerveja.com.br/;Site próprio;+55 19 3368-1600;Av. Brasil, 1111 - Jardim Guanabara, Campinas - SP, 13084-012, Brasil;6;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=Armaz%C3%A9m%20da%20Cerveja%20-%20Campinas%202%20%7C%20Distribuidora%20de%20Bebidas&query_place_id=ChIJfWq-MhvGyJQRSDxXNbhrgqQ
30;Avant Distribuidora de Alimentos;Avant Distribuidora de Alimentos;Negociante de alimentos;Campinas;São Paulo;https://avantdistribuidora.com/;Site próprio;+55 19 3849-2003;R. Dr. Élton César, 261 - Chácaras Campos dos Amarais, Campinas - SP, 13082-025, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Avant%20Distribuidora%20de%20Alimentos&query_place_id=ChIJP1U24zrHyJQRkwGJnyksev8
31;Baños Bebidas;Baños Bebidas;Fornecedor de bebidas;Campinas;São Paulo;http://www.banosbebidas.com.br/;Site próprio;+55 19 99426-2433;R. da Abolição, 1039 - Pte. Preta, Campinas - SP, 13045-750, Brasil;6;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=Ba%C3%B1os%20Bebidas&query_place_id=ChIJmbefXP_PyJQR81Le9XH1wEo
32;Biguá Alimentos;Biguá Alimentos;Fabricante;Campinas;São Paulo;http://www.biguaalimentos.com.br/;Site próprio;+55 19 3227-4555;R. Antonio Afonso de Lima, 4 - Vila Saltinho, Campinas - SP, 13051-500, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Bigu%C3%A1%20Alimentos&query_place_id=ChIJ6S-ZU7O5yJQRAeeF9o_2mUg
33;Brasil Food Services Distribuidora - Distribuímos Produtos Diferenciados;Brasil Food Services Distribuidora - Distribuímos Produtos Diferenciados;Serviço de distribuição;Campinas;São Paulo;http://www.brasilfoodservices.com.br/;Site próprio;+55 19 3342-4736;R. Dr. Herculano Gouveia Neto, 281 - Lot. Parque São Martinho, Campinas - SP, 13040-702, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Brasil%20Food%20Services%20Distribuidora%20-%20Distribu%C3%ADmos%20Produtos%20Diferenciados&query_place_id=ChIJY8fFOtfIyJQRQKVGJkoKIKQ
34;Center Campinas Distribuidora;Center Campinas Distribuidora;Serviço de distribuição;Campinas;São Paulo;https://www.centercampinas.com.br/home;Site próprio;+55 19 3267-2161;Polo I de Alta Tecnologia - Av. Carlos Pellegrini Junior, 140 - Techno Park, Campinas - SP, 13069-473, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Center%20Campinas%20Distribuidora&query_place_id=ChIJqabMHSzJyJQRvyNjUSOmk28
35;DIGÃO DISTRIBUIDORA DE PEÇAS E ACESSÓRIOS LTDA;DIGÃO DISTRIBUIDORA DE PEÇAS E ACESSÓRIOS LTDA;Serviço de distribuição;Campinas;São Paulo;http://www.digaodistribuidora.com.br/;Site próprio;+55 19 3272-2973;R. Clodomiro Franco de Andrade Júnior, 296 - Jardim Leonor, Campinas - SP, 13041-081, Brasil;6;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=DIG%C3%83O%20DISTRIBUIDORA%20DE%20PE%C3%87AS%20E%20ACESS%C3%93RIOS%20LTDA&query_place_id=ChIJod6wbTHJyJQRYz1QQpACm1Q
36;Furacão Distribuidora de Peças Automotivas;Furacão Distribuidora de Peças Automotivas;Serviço de distribuição;Campinas;São Paulo;http://www.furacao.com.br/;Site próprio;+55 19 2101-3000;R. Altíno Arantes, 1250 - Jardim do Lago II, Campinas - SP, 13051-110, Brasil;6;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=Furac%C3%A3o%20Distribuidora%20de%20Pe%C3%A7as%20Automotivas&query_place_id=ChIJkV42YwXJyJQRzORHBQzb_p4
37;M.D.G. Comércio de Alimentos Ltda;M.D.G. Comércio de Alimentos Ltda;Serviço de distribuição;Campinas;São Paulo;https://www.mdgdistribuidora.com.br/;Site próprio;+55 19 3296-3075;Rua Flávio Telles, 14 - Setor 2 - Jardim Santa Genebra, Campinas - SP, 13080-291, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=M.D.G.%20Com%C3%A9rcio%20de%20Alimentos%20Ltda&query_place_id=ChIJKUtXl9bHyJQR9ulACH4Oyoc
38;Macamp Distribuidora;Macamp Distribuidora;Serviço de distribuição;Campinas;São Paulo;http://www.macampdistribuidora.com.br/;Site próprio;+55 19 3500-0527;Tic-Log - R. Armando de Campos, 500 - Nova Aparecida, Campinas - SP, 13069-129, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Macamp%20Distribuidora&query_place_id=ChIJb1yWYRrHyJQRFUAPIYwFaUc
39;Porto Distribuidora de Alimentos;Porto Distribuidora de Alimentos;Serviço de distribuição;Campinas;São Paulo;http://www.comercialporto.com.br/;Site próprio;+55 19 3256-9790;R. Mirta Coluccini Porto, 1509 - Parque Rural Fazenda Santa Cândida, Campinas - SP, 13087-606, Brasil;6;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Porto%20Distribuidora%20de%20Alimentos&query_place_id=ChIJBXsvZTTEyJQRVAdsWBHLyUc
40;SAGA BEER;SAGA BEER;Fornecedor de bebidas;Campinas;São Paulo;https://www.lojalocal.com/amstel/39241068000106;Site próprio;+55 19 98987-0675;Rua Quintino Bocaiúva, 453 - Jardim Chapadão, Campinas - SP, 13070-017, Brasil;6;distribuidora de bebidas em Campinas SP;https://www.google.com/maps/search/?api=1&query=SAGA%20BEER&query_place_id=ChIJn9o-bFHHyJQRj4gpVuH0gNQ
